Palavra,Link,Instituicao
A disposicao,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_a_disposicao_STREAM.mp4,USP
Abaixo-assinado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_abaixo-assinado_STREAM.mp4,USP
Abracar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_abracar_STREAM.mp4,USP
Abril,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_abril_STREAM.mp4,USP
Abrir a porta,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_abrir_a_porta_STREAM.mp4,USP
Acenar ou Tchau,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_acenar_DOWNLOAD.mp4,USP
Acender a luz ou Acender,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_acender_STREAM.mp4,USP
Achar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_achar_STREAM.mp4,USP
Acontecer,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_acontecer_STREAM.mp4,USP
Acordar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_acordar_STREAM.mp4,USP
Acreditar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_acreditar_STREAM.mp4,USP
Adorar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_adorar_STREAM.mp4,USP
Advertencia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_advertencia_STREAM.mp4,USP
Agasalho,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_agasalho_STREAM.mp4,USP
Agenda,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_agenda_STREAM.mp4,USP
Agora,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_agora_STREAM.mp4,USP
Agosto,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_agosto_STREAM.mp4,USP
Agradecer,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_agradecer_STREAM.mp4,USP
Ainda,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_ainda_STREAM.mp4,USP
Ajudar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_ajudar_STREAM.mp4,USP
Album de fotografias,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_album_de_fotografias_STREAM.mp4,USP
Alfabeto manual,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_alfabeto_manual_STREAM.mp4,USP
Alimentos,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_alimentos_STREAM.mp4,USP
Almocar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_almocar_STREAM.mp4,USP
Aluno,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_aluno_STREAM.mp4,USP
Amanha,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_amanha_STREAM.mp4,USP
Amarelo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_amarelo_STREAM.mp4,USP
Amigo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_amigo_STREAM.mp4,USP
Amor,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_amor_STREAM.mp4,USP
Ano,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_ano_STREAM.mp4,USP
Ano passado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_ano_passado_STREAM.mp4,USP
Ano que vem,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_ano_que_vem_STREAM.mp4,USP
Anotar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_anotar_STREAM.mp4,USP
Antes ou Anterior,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_anterior_STREAM.mp4,USP
Apaixonado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_apaixonado_STREAM.mp4,USP
Apito,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_apito_STREAM.mp4,USP
Aprender,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_aprender_STREAM.mp4,USP
Apresentar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_apresentar_STREAM.mp4,USP
Apressado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_apressado_STREAM.mp4,USP
Aprovacao escolar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_aprovacao_escolar_STREAM.mp4,USP
Aqui,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_aqui_STREAM.mp4,USP
Assistir TV,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_assistir_tv_STREAM.mp4,USP
Assunto,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_assunto_STREAM.mp4,USP
Astronauta,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_astronauta_STREAM.mp4,USP
Atencao,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_atencao_STREAM.mp4,USP
Atendente,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_atendente_STREAM.mp4,USP
Atendente de Telemarketing,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_atendente_de_telemarketing_STREAM.mp4,USP
Atletismo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_atletismo_STREAM.mp4,USP
Ator,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_ator_STREAM.mp4,USP
Atrapalhar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_atrapalhar_STREAM.mp4,USP
Atrasado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_atrasado_STREAM.mp4,USP
Avisar e Avisar-me,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_avisar_STREAM.mp4,USP
Avo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_av%C3%B3_STREAM.mp4,USP
Avos: Vovo e Vovo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_avos_STREAM.mp4,USP
Azul,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_azul_STREAM.mp4,USP
Bairro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_bairro_STREAM.mp4,USP
Bala,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_bala_STREAM.mp4,USP
Banana,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_banana_STREAM.mp4,USP
Barulho,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_barulho_STREAM.mp4,USP
Bebe,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_beb%C3%AA_STREAM.mp4,USP
Beijar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_beijar_STREAM.mp4,USP
Bem-vindo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_bem-vindo_STREAM.mp4,USP
Bimestre,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_bimestre_STREAM.mp4,USP
Boa noite,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_boa_noite_STREAM.mp4,USP
Boa tarde,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_boa_tarde_STREAM.mp4,USP
Bolsa,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_bolsa_STREAM.mp4,USP
Bom,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_bom_STREAM.mp4,USP
Bom dia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_bom_dia_STREAM.mp4,USP
Bombeiro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_bombeiro_STREAM.mp4,USP
Bombom,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_bombom_STREAM.mp4,USP
Bonito,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_bonito_STREAM.mp4,USP
Boquiaberto,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_boquiaberto_STREAM.mp4,USP
Braco,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_bra%C3%A7o_STREAM.mp4,USP
Bravo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_bravo_STREAM.mp4,USP
Caderno,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_caderno_STREAM.mp4,USP
Cafe,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_cafe_STREAM.mp4,USP
Cair,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_cair_STREAM.mp4,USP
Calado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_calado_STREAM.mp4,USP
Calma,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_calma_STREAM.mp4,USP
Cama,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_cama_STREAM.mp4,USP
Caminhar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_caminhar_STREAM.mp4,USP
Cancelar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_cancelar_STREAM.mp4,USP
Caneta,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_caneta_STREAM.mp4,USP
Cantina lanche,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_cantina_lanche_STREAM.mp4,USP
Cantor,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_cantor_STREAM.mp4,USP
Capacete,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_capacete_STREAM.mp4,USP
Carona,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_carona_STREAM.mp4,USP
Carro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_carro_STREAM.mp4,USP
Carteira escolar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_carteira_escolar_STREAM.mp4,USP
Casal,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_casal_STREAM.mp4,USP
Cego,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_cego_STREAM.mp4,USP
Celular ou Telefone,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_celular_STREAM.mp4,USP
Certo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_certo_STREAM.mp4,USP
Chamada escolar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_chamada_escolar_STREAM.mp4,USP
Chance,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_chance_STREAM.mp4,USP
Chato,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_chato_STREAM.mp4,USP
Cheio (lugar),https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_cheio_lugar_STREAM.mp4,USP
Chorar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_chorar_STREAM.mp4,USP
Cidade,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_cidade_STREAM.mp4,USP
Cidade do Interior,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_cidade_do_interior_STREAM.mp4,USP
Cigano,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_cigano_STREAM.mp4,USP
Cinema,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_cinema_STREAM.mp4,USP
Claro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_claro_STREAM.mp4,USP
Classe ou Sala de Aula,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_classe_sala_de_aula_STREAM.mp4,USP
Coisa,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_coisa_STREAM.mp4,USP
Colorido,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_colorido_cor_STREAM.mp4,USP
Como?,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_como_STREAM.mp4,USP
Computador,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_computador_STREAM.mp4,USP
Confiar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_confiar_STREAM.mp4,USP
Conhecer,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_conhecer_STREAM.mp4,USP
Conseguir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_conseguir_STREAM.mp4,USP
Contratar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_contratar_STREAM.mp4,USP
Conversar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_conversar_STREAM.mp4,USP
Copiar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_copiar_STREAM.mp4,USP
Cores,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_cores_STREAM.mp4,USP
Corrigir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_corrigir_STREAM.mp4,USP
Criar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_criar_STREAM.mp4,USP
Curioso,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_curioso_STREAM.mp4,USP
Curso,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_curso_STREAM.mp4,USP
Danca,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_dan%C3%A7a_STREAM.mp4,USP
Dar e Dar-me,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_dar_STREAM.mp4,USP
Dar um tempo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_da_um_tempo_STREAM.mp4,USP
De novo ou Repetir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_de_novo_STREAM.mp4,USP
De saco cheio,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_de_saco_cheio_STREAM.mp4,USP
Deitar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_deitar_STREAM.mp4,USP
Dele e dela,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_dele_dela_STREAM.mp4,USP
Demais,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_demais_STREAM.mp4,USP
Depois,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_depois_STREAM.mp4,USP
Desculpa,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_desculpa_STREAM.mp4,USP
Desespero,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_desespero_STREAM.mp4,USP
Desmotivado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_desmotivado_STREAM.mp4,USP
Dezembro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_dezembro_STREAM.mp4,USP
Dia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_dia_STREAM.mp4,USP
Dias da semana,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_dias_da_semana_STREAM.mp4,USP
Dicionario,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_dicionario_STREAM.mp4,USP
Diferente,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_diferente_STREAM.mp4,USP
Dificil,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_dificil_STREAM.mp4,USP
Diretor,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_diretor_STREAM.mp4,USP
Doente,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_doente_STREAM.mp4,USP
Domingo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_domingo_STREAM.mp4,USP
Dormir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_dormir_STREAM.mp4,USP
ELE,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_ele_ela_STREAM.mp4,USP
Emergencia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_emergencia_STREAM.mp4,USP
